,0,1,index,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,guests_included,extra_people,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,Essentials,Smoke detector,Heating,Hangers,Hair dryer,Wifi,Carbon monoxide detector,Shampoo,Iron,Kitchen,{TV,Laptop friendly workspace,Washer,Dryer,Fire extinguisher
635,1.561669799315456,0.05505041800506611,635.0,1970,2,1,1,1,1,16,1,2,1,6.0,2.5,3.0,6,1,4.0,9,5,5,11,97.0,1,1,1,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
636,-1.4950705591167408,-0.2120764898425879,636.0,1970,4,4,2,1,1,1,1,1,1,4.0,2.0,2.0,1,1,1.0,3,5,5,13,97.0,1,1,1,1.0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1
637,1.5273848821412128,-1.1146074213238462,637.0,1970,1,1,2,1,1,3,1,1,1,3.0,2.0,3.0,1,1,1.0,3,16,16,45,95.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
638,2.314681163149111,0.636542146040586,638.0,1970,2,1,2,1,1,20,2,1,2,2.0,1.0,1.0,2,1,1.0,37,63,63,184,92.0,1,1,1,3.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
639,-0.017930370696242478,-0.9101780377235519,639.0,1970,1,1,2,1,1,5,1,1,1,4.0,2.0,2.0,1,1,2.0,12,72,72,5,100.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
640,2.5802581164914704,-1.0141521454566635,640.0,1970,5,14,2,1,1,1,1,1,1,6.0,2.0,3.0,6,1,1.0,9,73,73,37,98.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
641,0.24930582789619785,-0.31772499619240147,641.0,1970,4,4,1,1,2,6,1,1,1,2.0,1.0,1.0,2,1,2.0,9,3,3,152,95.0,2,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
642,1.139297429366484,-1.1926535868772918,642.0,1970,3,1,1,1,1,1,1,3,1,4.0,2.0,3.0,3,1,4.0,31,12,12,259,100.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
643,2.3582869423564348,-1.4854459387125147,643.0,1970,2,1,1,1,1,10,1,1,2,1.0,1.5,1.0,2,1,1.0,3,7,7,215,98.0,2,1,2,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
644,0.9375787164363631,-0.8557505837011332,644.0,1970,2,1,1,1,1,7,1,1,2,3.0,1.0,1.0,1,1,1.0,1,3,3,269,98.0,2,1,1,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
645,3.4144431099551373,-0.6019165583420805,645.0,1970,2,1,2,1,2,16,1,3,1,4.0,1.0,2.0,3,1,4.0,3,29,29,11,97.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
646,2.7113160271927272,-0.9802767595732144,646.0,1970,3,1,2,1,1,17,1,6,1,2.0,1.0,1.0,2,1,2.0,3,1,1,270,97.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
647,-0.9486773593608235,0.40703151602530013,647.0,1970,2,1,2,1,1,7,1,2,1,5.0,2.5,3.0,3,1,3.0,12,14,14,45,100.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
648,-0.1983303636423474,0.7511689483387396,648.0,1970,1,29,2,1,1,4,1,5,1,3.0,1.0,1.0,2,1,1.0,3,8,8,80,98.0,2,1,1,1.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
649,4.240590436852714,0.6419093515197083,649.0,1970,2,1,1,1,1,7,1,2,2,2.0,1.0,1.0,2,1,1.0,3,13,13,271,99.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
650,4.662745841246681,-0.30127623513781143,650.0,1970,2,1,1,1,1,3,1,2,2,3.0,1.0,1.0,1,1,2.0,1,5,5,272,98.0,2,1,1,3.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
